"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "CSS", "TypeScript JSX", "XML", "HTML", "comment", "blank", "total"
"c:\omnora OS\frontend\src\components\cms\StyleEditorPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 271, 0, 0, 20, 28, 319
"c:\omnora OS\frontend\src\components\cms\ThemeManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 1, 9, 61
"c:\omnora OS\frontend\src\components\cms\ThemePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 4, 12, 123
"c:\omnora OS\frontend\src\components\cms\blocks\AdSenseSlot.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 74, 0, 0, 1, 9, 84
"c:\omnora OS\frontend\src\components\cms\editors\FeaturedProductEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 0, 12, 121
"c:\omnora OS\frontend\src\components\cms\editors\IntelligenceEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 2, 9, 79
"c:\omnora OS\frontend\src\components\cms\editors\LinkPickerEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 1, 11, 121
"c:\omnora OS\frontend\src\components\cms\editors\ProductGridEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 328, 0, 0, 13, 28, 369
"c:\omnora OS\frontend\src\components\cms\help\SuggestionBubble.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 144, 0, 0, 1, 6, 151
"c:\omnora OS\frontend\src\components\cms\help\TourOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 169, 0, 0, 1, 14, 184
"c:\omnora OS\frontend\src\components\cms\properties\PropertyPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 300, 0, 0, 7, 35, 342
"c:\omnora OS\frontend\src\components\cms\properties\propConfigurations.ts", "TypeScript", 0, 1134, 0, 0, 0, 0, 0, 0, 4, 31, 1169
"c:\omnora OS\frontend\src\components\dashboard\MerchantStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 4, 18, 124
"c:\omnora OS\frontend\src\components\dashboard\OrderListTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 139, 0, 0, 1, 16, 156
"c:\omnora OS\frontend\src\components\dashboard\PaymentMethodBuilder.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 170, 0, 0, 3, 18, 191
"c:\omnora OS\frontend\src\components\dashboard\TutorialOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 112, 0, 0, 4, 13, 129
"c:\omnora OS\frontend\src\components\fomo\FomoCounter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 2, 10, 93
"c:\omnora OS\frontend\src\components\home\ErrorBoundary.css", "CSS", 0, 0, 0, 0, 124, 0, 0, 0, 0, 17, 141
"c:\omnora OS\frontend\src\components\home\HowItWorks.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 4, 5, 49
"c:\omnora OS\frontend\src\components\home\Newsletter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 1, 8, 78
"c:\omnora OS\frontend\src\components\home\TechStack.css", "CSS", 0, 0, 0, 0, 389, 0, 0, 0, 0, 54, 443
"c:\omnora OS\frontend\src\components\home\Testimonials.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 4, 7, 82
"c:\omnora OS\frontend\src\components\home\TrustSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 2, 34
"c:\omnora OS\frontend\src\components\home\WhyUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\omnora OS\frontend\src\components\home\tech.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 148, 0, 0, 8, 18, 174
"c:\omnora OS\frontend\src\components\home\testimonials.css", "CSS", 0, 0, 0, 0, 185, 0, 0, 0, 0, 25, 210
"c:\omnora OS\frontend\src\components\media\LogoPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 304, 0, 0, 4, 25, 333
"c:\omnora OS\frontend\src\components\merchant\RecoveryList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 99, 0, 0, 4, 15, 118
"c:\omnora OS\frontend\src\components\onboarding\StoreSetupWizard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 255, 0, 0, 9, 33, 297
"c:\omnora OS\frontend\src\components\orders\OrderTracking.css", "CSS", 0, 0, 0, 0, 81, 0, 0, 0, 0, 12, 93
"c:\omnora OS\frontend\src\components\orders\OrderTracking.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 7, 61
"c:\omnora OS\frontend\src\components\pwa\PwaInstallPrompt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 8, 18, 121
"c:\omnora OS\frontend\src\components\seller\AdminOrderManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 207, 0, 0, 3, 17, 227
