"filename", "language", "JSON with Comments", "TypeScript", "TypeScript JSX", "JSON", "MS SQL", "JavaScript", "Markdown", "XML", "PowerShell", "CSS", "HTML", "comment", "blank", "total"
"c:\omnora OS\backend\services\searchService.js", "JavaScript", 0, 0, 0, 0, 0, -186, 0, 0, 0, 0, 0, -21, -44, -251
"c:\omnora OS\backend\services\shippingService.js", "JavaScript", 0, 0, 0, 0, 0, -89, 0, 0, 0, 0, 0, -10, -24, -123
"c:\omnora OS\backend\services\shipping\leopardsProvider.js", "JavaScript", 0, 0, 0, 0, 0, -57, 0, 0, 0, 0, 0, -1, -9, -67
"c:\omnora OS\backend\services\shipping\tcsProvider.js", "JavaScript", 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, -2, -6, -31
"c:\omnora OS\backend\services\shipping\traxProvider.js", "JavaScript", 0, 0, 0, 0, 0, -58, 0, 0, 0, 0, 0, 0, -9, -67
"c:\omnora OS\backend\services\stateService.js", "JavaScript", 0, 0, 0, 0, 0, -147, 0, 0, 0, 0, 0, -8, -29, -184
"c:\omnora OS\backend\services\waRateGuard.js", "JavaScript", 0, 0, 0, 0, 0, -87, 0, 0, 0, 0, 0, -11, -23, -121
"c:\omnora OS\backend\services\whatsappAutomationService.js", "JavaScript", 0, 0, 0, 0, 0, -132, 0, 0, 0, 0, 0, -12, -27, -171
"c:\omnora OS\backend\services\whatsappService.js", "JavaScript", 0, 0, 0, 0, 0, -27, 0, 0, 0, 0, 0, -1, -4, -32
"c:\omnora OS\backend\shared\lib\dbService.js", "JavaScript", 0, 0, 0, 0, 0, -56, 0, 0, 0, 0, 0, -2, -13, -71
"c:\omnora OS\backend\shared\lib\supabaseClient.js", "JavaScript", 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, -1, -7, -28
"c:\omnora OS\backend\shared\middleware\authGuard.js", "JavaScript", 0, 0, 0, 0, 0, -33, 0, 0, 0, 0, 0, -1, -8, -42
"c:\omnora OS\backend\shared\middleware\errorHandler.js", "JavaScript", 0, 0, 0, 0, 0, -26, 0, 0, 0, 0, 0, 0, -5, -31
"c:\omnora OS\backend\shared\middleware\tenantContext.js", "JavaScript", 0, 0, 0, 0, 0, -54, 0, 0, 0, 0, 0, -6, -11, -71
"c:\omnora OS\backend\templates\home\electronics.json", "JSON", 0, 0, 0, -67, 0, 0, 0, 0, 0, 0, 0, 0, 0, -67
"c:\omnora OS\backend\templates\home\fashion.json", "JSON", 0, 0, 0, -75, 0, 0, 0, 0, 0, 0, 0, 0, 0, -75
"c:\omnora OS\backend\templates\home\general.json", "JSON", 0, 0, 0, -59, 0, 0, 0, 0, 0, 0, 0, 0, 0, -59
"c:\omnora OS\backend\test-boundaries.js", "JavaScript", 0, 0, 0, 0, 0, -93, 0, 0, 0, 0, 0, -8, -19, -120
"c:\omnora OS\backend\test_buckets.cjs", "JavaScript", 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, 0, 0, -6, -28
"c:\omnora OS\backend\test_db.js", "JavaScript", 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, -1, -8, -28
"c:\omnora OS\backend\test_login_controller_final.js", "JavaScript", 0, 0, 0, 0, 0, -26, 0, 0, 0, 0, 0, 0, -5, -31
"c:\omnora OS\backend\test_login_debug.js", "JavaScript", 0, 0, 0, 0, 0, -26, 0, 0, 0, 0, 0, -2, -9, -37
"c:\omnora OS\backend\test_merchants.cjs", "JavaScript", 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, -6, -31
"c:\omnora OS\backend\test_subscription.js", "JavaScript", 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, -4, -29
"c:\omnora OS\backend\tests\QA-SECURITY-CHECKLIST.md", "Markdown", 0, 0, 0, 0, 0, 0, -315, 0, 0, 0, 0, 0, -117, -432
"c:\omnora OS\backend\tests\integration\bootstrap.test.js", "JavaScript", 0, 0, 0, 0, 0, -61, 0, 0, 0, 0, 0, -2, -10, -73
"c:\omnora OS\backend\tests\integration\payment-security.test.js", "JavaScript", 0, 0, 0, 0, 0, -218, 0, 0, 0, 0, 0, -27, -51, -296
"c:\omnora OS\backend\tests\security\jwt.test.js", "JavaScript", 0, 0, 0, 0, 0, -88, 0, 0, 0, 0, 0, -3, -24, -115
"c:\omnora OS\backend\tests\test_approval_flow.js", "JavaScript", 0, 0, 0, 0, 0, -102, 0, 0, 0, 0, 0, -10, -20, -132
"c:\omnora OS\backend\tests\unit\config.test.js", "JavaScript", 0, 0, 0, 0, 0, -38, 0, 0, 0, 0, 0, 0, -10, -48
"c:\omnora OS\backend\utils\LocalDB.js", "JavaScript", 0, 0, 0, 0, 0, -230, 0, 0, 0, 0, 0, -17, -46, -293
"c:\omnora OS\backend\utils\inventoryService.js", "JavaScript", 0, 0, 0, 0, 0, -136, 0, 0, 0, 0, 0, -4, -23, -163
"c:\omnora OS\backend\utils\modelFactory.js", "JavaScript", 0, 0, 0, 0, 0, -66, 0, 0, 0, 0, 0, -15, -18, -99
"c:\omnora OS\backend\utils\orderHashService.js", "JavaScript", 0, 0, 0, 0, 0, -40, 0, 0, 0, 0, 0, -3, -8, -51
"c:\omnora OS\backend\utils\phoneFormatter.js", "JavaScript", 0, 0, 0, 0, 0, -56, 0, 0, 0, 0, 0, -10, -17, -83
"c:\omnora OS\backend\utils\retryWithBackoff.js", "JavaScript", 0, 0, 0, 0, 0, -62, 0, 0, 0, 0, 0, 0, -10, -72
"c:\omnora OS\backend\utils\tenantStorage.js", "JavaScript", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, -3, -6
"c:\omnora OS\backend\utils\tokenService.js", "JavaScript", 0, 0, 0, 0, 0, -74, 0, 0, 0, 0, 0, -2, -11, -87
"c:\omnora OS\backend\utils\whatsappService.js", "JavaScript", 0, 0, 0, 0, 0, -142, 0, 0, 0, 0, 0, 0, -28, -170
"c:\omnora OS\backend\validators\orderValidators.js", "JavaScript", 0, 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, 0, -8, -44
"c:\omnora OS\backend\validators\productValidators.js", "JavaScript", 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, -8, -36
"c:\omnora OS\backend\validators\userValidator.js", "JavaScript", 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -5, -28
"c:\omnora OS\backend\validators\userValidators.js", "JavaScript", 0, 0, 0, 0, 0, -41, 0, 0, 0, 0, 0, 0, -8, -49
"c:\omnora OS\backend\verify-mongodb.js", "JavaScript", 0, 0, 0, 0, 0, -95, 0, 0, 0, 0, 0, -4, -23, -122
"c:\omnora OS\backend\verify-order-fix.js", "JavaScript", 0, 0, 0, 0, 0, -42, 0, 0, 0, 0, 0, -1, -9, -52
"c:\omnora OS\backend\verify-serverless.js", "JavaScript", 0, 0, 0, 0, 0, -68, 0, 0, 0, 0, 0, -11, -19, -98
"c:\omnora OS\backend\workers\notificationWorker.js", "JavaScript", 0, 0, 0, 0, 0, -156, 0, 0, 0, 0, 0, -17, -37, -210
"c:\omnora OS\backend\workers\taskWorker.js", "JavaScript", 0, 0, 0, 0, 0, -94, 0, 0, 0, 0, 0, -4, -26, -124
"c:\omnora OS\boot-audit.js", "JavaScript", 0, 0, 0, 0, 0, -26, 0, 0, 0, 0, 0, -2, -7, -35
"c:\omnora OS\check_cms.js", "JavaScript", 0, 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, -2, -23
"c:\omnora OS\check_cms_deep.js", "JavaScript", 0, 0, 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -5, -42
"c:\omnora OS\check_cms_dump.js", "JavaScript", 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\omnora OS\check_cms_native.js", "JavaScript", 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, -2, -30
"c:\omnora OS\check_cms_raw.js", "JavaScript", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -2, -12
"c:\omnora OS\check_products.js", "JavaScript", 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, -2, -27
"c:\omnora OS\check_products_full.js", "JavaScript", 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -4, -27
"c:\omnora OS\check_products_raw.js", "JavaScript", 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, -2, -19
"c:\omnora OS\database\analytics.sql", "MS SQL", 0, 0, 0, 0, -70, 0, 0, 0, 0, 0, 0, -9, -6, -85
"c:\omnora OS\database\omnora_schema.sql", "MS SQL", 0, 0, 0, 0, -469, 0, 0, 0, 0, 0, 0, -99, -133, -701
"c:\omnora OS\database\seeds.sql", "MS SQL", 0, 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, -9, -5, -88
"c:\omnora OS\diag.js", "JavaScript", 0, 0, 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, -6, -24
"c:\omnora OS\dump_imports.js", "JavaScript", 0, 0, 0, 0, 0, -43, 0, 0, 0, 0, 0, 0, -4, -47
"c:\omnora OS\find_all_requires.js", "JavaScript", 0, 0, 0, 0, 0, -31, 0, 0, 0, 0, 0, 0, -4, -35
"c:\omnora OS\find_dist_require.js", "JavaScript", 0, 0, 0, 0, 0, -31, 0, 0, 0, 0, 0, -1, -4, -36
"c:\omnora OS\find_escaping_imports.js", "JavaScript", 0, 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, -1, -4, -41
"c:\omnora OS\find_leak.js", "JavaScript", 0, 0, 0, 0, 0, -40, 0, 0, 0, 0, 0, -1, -5, -46
"c:\omnora OS\find_real_dist_require.js", "JavaScript", 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, -5, -40
"c:\omnora OS\find_require.js", "JavaScript", 0, 0, 0, 0, 0, -34, 0, 0, 0, 0, 0, -2, -4, -40
"c:\omnora OS\find_require_raw.js", "JavaScript", 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, -5, -35
"c:\omnora OS\find_side_effect.js", "JavaScript", 0, 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, 0, -4, -40
"c:\omnora OS\frontend\.eslintrc.json", "JSON with Comments", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\omnora OS\frontend\library_lint_report.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\omnora OS\frontend\src\api\PixelManager.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 12
"c:\omnora OS\frontend\src\api\Publisher.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 13
"c:\omnora OS\frontend\src\app\api\dns-check\route.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 1
"c:\omnora OS\frontend\src\app\store\[merchant_slug]\[page_slug]\page.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 17
"c:\omnora OS\frontend\src\app\store\[merchant_slug]\track\[order_id]\page.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 5
"c:\omnora OS\frontend\src\app\store\[slug]\page.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 14
"c:\omnora OS\frontend\src\components\AdPlacementZone.tsx", "TypeScript JSX", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\omnora OS\frontend\src\components\AdminLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"c:\omnora OS\frontend\src\components\DynamicSection.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, -4, 5, 54
"c:\omnora OS\frontend\src\components\HostnameInterceptor.tsx", "TypeScript JSX", 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -13
"c:\omnora OS\frontend\src\components\Layout.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1
"c:\omnora OS\frontend\src\components\PosterGallery.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0
"c:\omnora OS\frontend\src\components\SmartImage.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, -3, -1, -1
"c:\omnora OS\frontend\src\components\StripePayment.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\omnora OS\frontend\src\components\admin\AdminDashboard.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4
"c:\omnora OS\frontend\src\components\admin\IndustrialDashboard.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\omnora OS\frontend\src\components\admin\Layout.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 3
"c:\omnora OS\frontend\src\components\admin\OrderManager.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, -1, 3
"c:\omnora OS\frontend\src\components\admin\Sidebar.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\omnora OS\frontend\src\components\admin\analytics\SellerAnalytics.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\omnora OS\frontend\src\components\admin\blog\BlogManager.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, -3, 1, 17
"c:\omnora OS\frontend\src\components\admin\collections\CollectionManager.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\omnora OS\frontend\src\components\admin\discounts\DiscountManager.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, -2, 1, 20
"c:\omnora OS\frontend\src\components\admin\inventory\InventoryManager.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, -3, 1, 17
"c:\omnora OS\frontend\src\components\admin\marketing\EmailMarketing.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, -3, 1, 22
"c:\omnora OS\frontend\src\components\admin\marketing\SocialMarketing.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\omnora OS\frontend\src\components\admin\orders\AdminOrderManager.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\omnora OS\frontend\src\components\admin\products\AdminProductManager.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 15
"c:\omnora OS\frontend\src\components\admin\products\ProductEditor.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 13
"c:\omnora OS\frontend\src\components\admin\seo\SEOManager.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 5
"c:\omnora OS\frontend\src\components\admin\settings\DomainSettings.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\omnora OS\frontend\src\components\admin\settings\PaymentSettings.tsx", "TypeScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\omnora OS\frontend\src\components\auth\AuthModal.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0
"c:\omnora OS\frontend\src\components\blocks\CustomerReviews.tsx", "TypeScript JSX", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\omnora OS\frontend\src\components\blocks\FAQAccordion.tsx", "TypeScript JSX", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -5, -7, -15
"c:\omnora OS\frontend\src\components\blocks\HeroBanner.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\omnora OS\frontend\src\components\blocks\SiteFooter.tsx", "TypeScript JSX", 0, 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5, -38
"c:\omnora OS\frontend\src\components\blocks\TrustBadges.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 17
"c:\omnora OS\frontend\src\components\blocks\UpsellWidget.tsx", "TypeScript JSX", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\omnora OS\frontend\src\components\builder\AICopilotModal.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 12
"c:\omnora OS\frontend\src\components\builder\AddPageModal.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 5
"c:\omnora OS\frontend\src\components\builder\DomainManager.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\omnora OS\frontend\src\components\cart\CartDrawer.tsx", "TypeScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7
"c:\omnora OS\frontend\src\components\cart\CheckoutBlock.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 36
"c:\omnora OS\frontend\src\components\cart\FeaturedProduct.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 20
"c:\omnora OS\frontend\src\components\cart\ProductCard.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, -1, 3
"c:\omnora OS\frontend\src\components\cart\ProductGrid.tsx", "TypeScript JSX", 0, 0, -70, 0, 0, 0, 0, 0, 0, 0, 0, 1, -6, -75
"c:\omnora OS\frontend\src\components\cart\ProductOptions.tsx", "TypeScript JSX", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, -5, -4, -11
"c:\omnora OS\frontend\src\components\cart\RecentlyViewed.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 23
"c:\omnora OS\frontend\src\components\cart\SearchBar.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -2
"c:\omnora OS\frontend\src\components\cms\BlockFloatingToolbar.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\omnora OS\frontend\src\components\cms\BuilderRegistry.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\omnora OS\frontend\src\components\cms\BuilderToolbar.tsx", "TypeScript JSX", 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, -29, -7, -55
"c:\omnora OS\frontend\src\components\cms\CanvasBlock.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, -6, 2, 8
"c:\omnora OS\frontend\src\components\cms\CanvasOverlay.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, -63, -1, -43
"c:\omnora OS\frontend\src\components\cms\ComponentRegistry.tsx", "TypeScript JSX", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\omnora OS\frontend\src\components\cms\ComponentWrapper.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, -1, 2, 12
"c:\omnora OS\frontend\src\components\cms\ConversionScore.tsx", "TypeScript JSX", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -2
"c:\omnora OS\frontend\src\components\cms\DevicePresetPanel.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\omnora OS\frontend\src\components\cms\DynamicSection.tsx", "TypeScript JSX", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\omnora OS\frontend\src\components\cms\EditModeOverlay.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 26
"c:\omnora OS\frontend\src\components\cms\EditableComponents.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, -14, 14, 31
"c:\omnora OS\frontend\src\components\cms\ElementLibrary.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 2
"c:\omnora OS\frontend\src\components\cms\MediaLibraryModal.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\omnora OS\frontend\src\components\cms\OmnoraRenderer.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\omnora OS\frontend\src\components\cms\SEOHead.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\omnora OS\frontend\src\components\cms\SafeRenderer.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\omnora OS\frontend\src\components\cms\editors\ProductGridEditor.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\omnora OS\frontend\src\components\cms\help\SuggestionBubble.tsx", "TypeScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 6
"c:\omnora OS\frontend\src\components\cms\help\TourOverlay.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -1
