"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\omnora OS\frontend\src\components\cms\StorefrontFallback.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\omnora OS\frontend\src\components\cms\StyleEditorPanel.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\omnora OS\frontend\src\components\cms\properties\propConfigurations.ts", "TypeScript", 0, 534, 0, 0, 0, 0, -2, 20, 552
"c:\omnora OS\frontend\src\components\seller\AiInsights.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 0, 0, 7, 64
"c:\omnora OS\frontend\src\components\storefront\CustomerProfile.tsx", "TypeScript JSX", 0, 0, 346, 0, 0, 0, 8, 35, 389
"c:\omnora OS\frontend\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 54, 0, 0, 0, 5, 7, 66
"c:\omnora OS\frontend\src\context\BuilderContext.tsx", "TypeScript JSX", 0, 0, -9, 0, 0, 0, 0, 0, -9
"c:\omnora OS\frontend\src\index.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\omnora OS\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 84, 0, 0, 0, 6, 5, 95
"c:\omnora OS\frontend\src\pages\SellerDashboard.tsx", "TypeScript JSX", 0, 0, -45, 0, 0, 0, -23, -16, -84
"c:\omnora OS\frontend\src\pages\admin\Billing.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\omnora OS\frontend\src\pages\seller\SellerProfile.tsx", "TypeScript JSX", 0, 0, 219, 0, 0, 0, 5, 19, 243
"c:\omnora OS\frontend\src\platform\ai\DataCruncher.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\omnora OS\frontend\src\platform\core\DatabaseTypes.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\omnora OS\frontend\src\platform\kernel\NewPageInitializer.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 1, 32
"c:\omnora OS\frontend\src\platform\kernel\OmnoraBootloader.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 3, 11, 81
"c:\omnora OS\frontend\src\platform\publish\CleanRenderer.tsx", "TypeScript JSX", 0, 0, 83, 0, 0, 0, 8, 12, 103
"c:\omnora OS\frontend\src\platform\publish\Publisher.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 3, 9, 52
"c:\omnora OS\frontend\src\platform\publish\StorefrontApp.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 0, 1, 3, 42
"c:\omnora OS\frontend\src\stores\useBuilderStore.ts", "TypeScript", 0, 106, 0, 0, 0, 0, 17, 27, 150
"c:\omnora OS\frontend\vercel.json", "JSON", -4, 0, 0, 0, 0, 0, 0, 0, -4
"c:\omnora OS\gsgbackend\config\env.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\omnora OS\gsgbackend\controllers\contactController.js", "JavaScript", 0, 0, 0, 0, -2, 0, 0, 0, -2
"c:\omnora OS\gsgbackend\controllers\newsletterController.js", "JavaScript", 0, 0, 0, 0, -18, 0, -3, -3, -24
"c:\omnora OS\gsgbackend\package-lock.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 0, 73
"c:\omnora OS\gsgbackend\package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\omnora OS\gsgbackend\routes\performanceHubRoutes.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\omnora OS\vercel.json", "JSON", -18, 0, 0, 0, 0, 0, 0, 0, -18
"Total", "-", 183, 784, 2359, 15, -26, -9, 49, 250, 3605
