"filename", "language", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "JSON", "MS SQL", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\routes\webhookRoutes.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\routes\whatsappTemplateRoutes.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 73
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\routes\wishlistRoutes.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 28
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\scripts\check-env-leaks.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\scripts\cleanup-port.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 54
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\scripts\createAdmin.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 77
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\scripts\precheck.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 69
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\scripts\seed-products-remote.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 61
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\scripts\seed-remote.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\scripts\seedProducts.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 169
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\scripts\set-admin.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 69
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\scripts\start-dev.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 25
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\scripts\test-approval-system.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 0, 25, 27, 182
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\scripts\test-whatsapp.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\scripts\verify-system.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 141
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\server.js", "JavaScript", 163, 0, 0, 0, 0, 0, 0, 0, 0, 16, 18, 197
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\aiContentService.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 12, 24, 127
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\aiQuotaService.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 98
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\analyticsService.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32, 166
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\cartService.js", "JavaScript", 320, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39, 364
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\dbService.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 72
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\emailService.js", "JavaScript", 198, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 222
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\logger.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\mailblusterService.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 81
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\manifestService.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 42
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\memoryDbService.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\onboardingService.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 126
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\paymentService.js", "JavaScript", 329, 0, 0, 0, 0, 0, 0, 0, 0, 54, 57, 440
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\preflightService.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 61
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\queueService.js", "JavaScript", 169, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 201
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\recommendationService.js", "JavaScript", 230, 0, 0, 0, 0, 0, 0, 0, 0, 12, 36, 278
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\searchService.js", "JavaScript", 255, 0, 0, 0, 0, 0, 0, 0, 0, 20, 47, 322
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\shippingService.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 123
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\shipping\leopardsProvider.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 67
"c:\E-Commerce Website (Full) - Copy (3)\gsgbackend\services\shipping\tcsProvider.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 31
