"filename", "language", "JavaScript", "JSON", "Markdown", "TypeScript", "TypeScript JSX", "CSS", "HTML", "XML", "PowerShell", "MS SQL", "JSON with Comments", "comment", "blank", "total"
"c:\E-Commerce Website (Full) - Copy (3)\backend\data\defaultProducts.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 92
"c:\E-Commerce Website (Full) - Copy (3)\backend\data\event.json", "JSON", 0, 9520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9520
"c:\E-Commerce Website (Full) - Copy (3)\backend\data\orders.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\E-Commerce Website (Full) - Copy (3)\backend\data\product.json", "JSON", 0, 10687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10687
"c:\E-Commerce Website (Full) - Copy (3)\backend\data\products.json", "JSON", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80
"c:\E-Commerce Website (Full) - Copy (3)\backend\data\sitecontent.json", "JSON", 0, 574, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 574
"c:\E-Commerce Website (Full) - Copy (3)\backend\data\user.json", "JSON", 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 290
"c:\E-Commerce Website (Full) - Copy (3)\backend\data\users.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\E-Commerce Website (Full) - Copy (3)\backend\docs\API_OPERATIONS.md", "Markdown", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 60
"c:\E-Commerce Website (Full) - Copy (3)\backend\docs\RUNBOOK_ARCHITECTURE.md", "Markdown", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 51
"c:\E-Commerce Website (Full) - Copy (3)\backend\ecosystem.config.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 55
"c:\E-Commerce Website (Full) - Copy (3)\backend\email-templates\order-cancelled.html", "HTML", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 11, 71
"c:\E-Commerce Website (Full) - Copy (3)\backend\email-templates\order-delivered.html", "HTML", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 10, 70
"c:\E-Commerce Website (Full) - Copy (3)\backend\email-templates\order-placed.html", "HTML", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 12, 83
"c:\E-Commerce Website (Full) - Copy (3)\backend\email-templates\order-shipped.html", "HTML", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 12, 81
"c:\E-Commerce Website (Full) - Copy (3)\backend\email-templates\payment-approved.html", "HTML", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 12, 81
"c:\E-Commerce Website (Full) - Copy (3)\backend\jobs\cleanupInitiatedOrders.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19, 121
"c:\E-Commerce Website (Full) - Copy (3)\backend\lib\dbConnect.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50
"c:\E-Commerce Website (Full) - Copy (3)\backend\middleware\auth.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 127
"c:\E-Commerce Website (Full) - Copy (3)\backend\middleware\authEnhanced.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\E-Commerce Website (Full) - Copy (3)\backend\middleware\authMiddleware.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\E-Commerce Website (Full) - Copy (3)\backend\middleware\gatekeeper.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 135
"c:\E-Commerce Website (Full) - Copy (3)\backend\middleware\rateLimiter.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\E-Commerce Website (Full) - Copy (3)\backend\middleware\tenantContext.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 59
"c:\E-Commerce Website (Full) - Copy (3)\backend\middleware\validate.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\AbandonedCart.js", "JavaScript", 389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45, 445
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\AdminActionLog.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\AiContent.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Bundle.js", "JavaScript", 340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 39, 394
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Contact.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Event.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Inventory.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 98
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\MessageLog.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Newsletter.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\OneClickCheckout.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 165
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Order.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 71
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\PaymentMethod.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 39
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Phase1Models.js", "JavaScript", 521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 73, 655
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Phase2Models.js", "JavaScript", 696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 134, 909
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Phase3Models.js", "JavaScript", 709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 176, 976
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Product.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Recommendation.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Review.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Shipment.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\SiteContent.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 60
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\User.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 67
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\WaOptOut.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\WhatsAppTemplate.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 35
"c:\E-Commerce Website (Full) - Copy (3)\backend\models\Wishlist.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\E-Commerce Website (Full) - Copy (3)\backend\package-lock.json", "JSON", 0, 9276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9277
"c:\E-Commerce Website (Full) - Copy (3)\backend\package-production.json", "JSON", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"c:\E-Commerce Website (Full) - Copy (3)\backend\package.json", "JSON", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\adminRoutes.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 32
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\aiContentRoutes.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 51
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\analyticsRoutes.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\authRoutes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\cartRoutes.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\cmsRoutes.js", "JavaScript", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 35, 203
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\contactRoutes.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\domainRoutes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\healthRoutes.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 68
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\inventoryRoutes.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 29
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\mediaRoutes.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 57
