"filename", "language", "JSON", "JavaScript", "Markdown", "PowerShell", "XML", "HTML", "JSON with Comments", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\SovereignWidget.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 0, 14, 213
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\help\SuggestionBubble.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 7, 145
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\help\TourOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 3, 14, 176
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\CommerceModule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 3, 9, 140
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\DiscoveryEngine.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 2, 20, 191
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\ElementControlLayer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 33, 73, 850
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\FeatureModule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 3, 11, 117
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\HeaderModule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 3, 9, 128
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\HeroModule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 10, 22, 189
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\IntelligenceModules.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 2, 14, 129
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\ProductModule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 9, 23, 187
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\PromoModule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 3, 11, 121
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\ReviewModule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 2, 10, 106
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\SelectionEngine.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 17, 172
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\SocialProofModule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 10, 76
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\StockScarcityModule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 6, 47
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\TransactionModule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 3, 11, 153
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\TransactionPipeline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 15, 137
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\TrustEngine.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 10, 63
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\TrustModule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 7, 19, 174
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\cms\modules\UrgencyTimerModule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 4, 19, 127
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\home\ErrorBoundary.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 17, 141
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\home\HowItWorks.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 4, 5, 49
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\home\Newsletter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 1, 8, 78
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\home\TechStack.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 389, 0, 0, 54, 443
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\home\Testimonials.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 4, 7, 82
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\home\TrustSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 2, 34
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\home\WhyUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 3, 31
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\home\tech.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 9, 18, 174
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\home\testimonials.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 25, 210
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\media\LogoPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 304, 4, 25, 333
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\onboarding\StoreSetupWizard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 9, 29, 246
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\orders\OrderTracking.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 12, 93
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\orders\OrderTracking.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 7, 61
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\seller\AiContentPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 13, 24, 158
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\seller\PaymentSettingsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 9, 24, 189
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\seller\PaymentVerificationQueue.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 11, 119
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\seller\SellerAnalytics.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 26, 177
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\seller\SellerAnalytics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 249, 1, 14, 264
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\seller\SellerAnalyticsDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 11, 23, 210
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\seller\SellerInventory.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 30, 211
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\seller\SellerInventory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 285, 0, 16, 301
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\seller\WhatsAppTemplatesPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 8, 26, 157
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\components\useMinimumLoadingTime.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 5, 5, 43
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\config\adConfig.json", "JSON", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 111
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\config\firebase.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 4, 5, 69
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\constants.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 16, 21, 183
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\context\BuilderContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 653, 27, 84, 764
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\context\MediaStoreContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 8, 14, 115
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\context\ThemeContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 1, 13, 62
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\context\Toast.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 18, 139
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\context\ToastContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 3, 14, 87
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\data\fallbackProducts.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 92
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\hooks\useBuilderInteractionStore.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 5, 20, 116
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\hooks\useImageLoader.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 27, 23, 123
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\hooks\useMinimumLoadingTime.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\hooks\useScrollReveal.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 1, 7, 34
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\hooks\useStorefront.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 6, 13, 80
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 514, 0, 0, 82, 596
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\lib\loadingManager.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 20, 27, 182
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 2, 5, 64
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\About.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 202, 0, 0, 39, 241
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\About.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 6, 15, 159
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\AdminAnalytics.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 241, 0, 0, 35, 276
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\AdminAnalytics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 9, 15, 176
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\AdminApprove.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 207, 0, 0, 30, 237
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\AdminApprove.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 1, 18, 113
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\AdminDashboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1102, 0, 0, 169, 1271
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\AdminDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 7, 25, 285
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\AdminOrders.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 307, 0, 0, 49, 356
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\AdminOrders.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 223, 1, 16, 240
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\AdminProducts.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 246, 0, 0, 40, 286
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\AdminProducts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 20, 230
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\AdminUsers.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 225, 0, 0, 32, 257
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\AdminUsers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 1, 17, 181
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Cart.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 222, 0, 0, 36, 258
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Cart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 179, 356
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Checkout.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 321, 0, 0, 41, 362
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Checkout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 463, 10, 43, 516
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Collection.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 554, 0, 0, 91, 645
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Collection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 9, 25, 173
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Contact.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 22, 158
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\FAQ.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 25, 173
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 261, 14, 30, 305
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\HomeWithAds.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 6, 22
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\LegalPages.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 16, 110
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Login.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 215, 0, 0, 31, 246
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 26, 187, 461
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\NotFound.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 7, 49
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 3, 31
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\OmnoraCollection.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 348, 0, 0, 56, 404
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\OmnoraContact.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 201, 0, 0, 36, 237
