"filename", "language", "JavaScript", "Markdown", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "HTML", "XML", "CSS", "MS SQL", "PowerShell", "comment", "blank", "total"
"c:\omnora OS\backend\data\user.json", "JSON", 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 290
"c:\omnora OS\backend\data\users.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\omnora OS\backend\docs\API_OPERATIONS.md", "Markdown", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 60
"c:\omnora OS\backend\docs\RUNBOOK_ARCHITECTURE.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 51
"c:\omnora OS\backend\ecosystem.config.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 55
"c:\omnora OS\backend\email-templates\order-cancelled.html", "HTML", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 11, 71
"c:\omnora OS\backend\email-templates\order-delivered.html", "HTML", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 10, 70
"c:\omnora OS\backend\email-templates\order-placed.html", "HTML", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 12, 83
"c:\omnora OS\backend\email-templates\order-shipped.html", "HTML", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 12, 81
"c:\omnora OS\backend\email-templates\payment-approved.html", "HTML", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 12, 81
"c:\omnora OS\backend\jobs\cleanupInitiatedOrders.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 121
"c:\omnora OS\backend\list_merchants.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"c:\omnora OS\backend\middleware\auth.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 137
"c:\omnora OS\backend\middleware\authEnhanced.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\omnora OS\backend\middleware\authMiddleware.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\omnora OS\backend\middleware\gatekeeper.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 135
"c:\omnora OS\backend\middleware\rateLimiter.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\omnora OS\backend\middleware\validate.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\omnora OS\backend\modules\ai-forge\ai-forge.controller.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 53
"c:\omnora OS\backend\modules\ai-forge\ai-forge.routes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 20
"c:\omnora OS\backend\modules\ai-forge\ai-forge.service.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 26, 170
"c:\omnora OS\backend\modules\analytics\analytics.controller.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\omnora OS\backend\modules\analytics\analytics.routes.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 18
"c:\omnora OS\backend\modules\analytics\analytics.service.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\omnora OS\backend\modules\checkout\checkout.controller.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51
"c:\omnora OS\backend\modules\checkout\checkout.routes.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 18
"c:\omnora OS\backend\modules\checkout\checkout.service.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 101
"c:\omnora OS\backend\modules\tenant\tenant.controller.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 48
"c:\omnora OS\backend\modules\tenant\tenant.routes.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 19
"c:\omnora OS\backend\modules\tenant\tenant.service.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 73
"c:\omnora OS\backend\package-lock.json", "JSON", 0, 0, 9330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9331
"c:\omnora OS\backend\package-production.json", "JSON", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"c:\omnora OS\backend\package.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\omnora OS\backend\routes\adminRoutes.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 32
"c:\omnora OS\backend\routes\authRoutes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19
"c:\omnora OS\backend\routes\cartRoutes.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\omnora OS\backend\routes\contactRoutes.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"c:\omnora OS\backend\routes\domainRoutes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\omnora OS\backend\routes\healthRoutes.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 68
"c:\omnora OS\backend\routes\inventoryRoutes.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 29
"c:\omnora OS\backend\routes\jobRoutes.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\omnora OS\backend\routes\mediaRoutes.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 57
"c:\omnora OS\backend\routes\newsletterRoutes.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"c:\omnora OS\backend\routes\paymentMethodRoutes.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 113
